RamanShift,0.625 mg/mL IgG1,1.25 mg/mL IgG1,2.5 mg/mL IgG1,5 mg/mL IgG1,10 mg/mL IgG1
3126,462034.1133,481141.6941,486317.8647,487034.9668,470211.2863
3125,457721.82,476106.0916,481321.5715,481444.0856,464201.1774
3124,454088.2071,471797.1565,476303.9476,476608.1674,458351.574
3123,450374.1424,468227.8992,471476.3214,472411.6268,453806.4004
3122,445787.4582,464698.4787,467137.4085,467989.0665,449715.8664
3121,440834.4557,460343.0236,463106.6271,463040.9207,444584.1524
3120,436345.6887,455145.6391,458942.5652,457852.2193,438670.1324
3119,432015.5521,449837.4363,454356.0017,452553.253,433598.1191
3118,427178.5462,444890.5269,449355.8374,447277.3388,429950.7016
3117,421982.488,440279.729,444223.8202,442596.7283,426793.6607
3116,417015.378,435831.9242,439272.9948,438762.4495,423265.603
3115,412597.3398,431189.027,434540.1857,434973.6346,419178.5712
3114,408707.4685,426048.4328,429815.2389,430453.782,414562.1097
3113,405018.7952,420772.1359,424990.9043,425595.8962,409830.5493
3112,400940.9557,415990.0855,420289.9858,421089.7429,405641.5123
3111,396098.0617,411711.4335,415982.3732,416829.2718,401888.2886
3110,390886.8776,407638.0717,411818.3358,412483.8898,397813.1371
3109,386170.6255,403757.032,407193.0352,408186.6786,393236.8081
3108,382294.2389,399823.7631,402187.8734,404109.3958,388643.967
3107,378778.8366,395237.3329,397686.7174,400112.0907,384366.4924
3106,375023.9515,390139.9312,393978.0992,395961.6071,380485.6719
3105,370955.6919,385553.2021,390315.8245,391462.4309,376984.9231
3104,366933.2487,381942.2858,386311.2862,386619.1277,373532.4035
3103,363177.5791,378657.9653,382348.9983,381809.4941,369691.0435
3102,359459.9547,375029.564,378341.2955,377368.0102,365507.5176
3101,355473.3649,371164.5343,373712.6739,373180.4026,361447.7644
3100,351242.508,367440.7383,368766.9819,369099.5775,357749.01
3099,347008.3863,363735.9514,364507.4525,365261.1888,354104.4293
3098,343071.5148,359603.5864,361090.0214,361698.6902,350052.3405
3097,339627.1337,355078.3222,357680.7185,358287.0928,345697.3716
3096,336339.7004,350675.2944,353747.5211,355035.6286,341828.0168
3095,332588.6951,346571.2254,349631.1693,351748.5087,338919.198
3094,328444.3513,342546.8334,345865.7002,347853.8421,336313.751
3093,324615.9219,338611.9849,342440.9706,343286.4196,333054.43
3092,321375.7933,334919.0879,338910.7892,338814.8819,329164.032
3091,318332.5072,331410.8317,335069.6057,334948.4214,325326.0521
3090,315065.9468,328024.3167,331182.3218,331407.2737,321745.9558
3089,311452.8301,324642.015,327471.2687,327889.0638,318147.0539
3088,307704.3474,320897.4063,323807.4146,324392.3208,314520.6802
